agent_id;episode;step;action;reward;hasTreasure;enemyVisible;enemyInRange;treasureOnMap
-3242;8;0;1;0;0;0;0;1
-3242;8;1;1;0;0;0;0;1
-3242;8;2;1;0;0;0;0;1
-3242;8;3;1;0;0;0;0;1
-3242;8;4;1;0;0;0;0;1
-3242;8;5;1;0;0;0;0;1
-3242;8;6;1;0;0;0;0;1
-3242;8;7;1;0;0;0;0;1
-3242;8;8;1;0;0;0;0;1
-3242;8;9;1;0;0;0;0;1
-3242;8;10;1;0;0;0;0;1
-3242;8;11;1;0;0;0;0;1
-3242;8;12;1;0;0;0;0;1
-3242;8;13;1;0;0;0;0;1
-3242;8;14;1;0;0;0;0;1
-3242;8;15;1;0;0;0;0;1
-3242;8;16;1;0;0;0;0;1
-3242;8;17;1;0;0;0;0;1
-3242;8;18;1;0;0;0;0;1
-3242;8;19;1;0;0;0;0;1
-3242;8;20;1;0;0;0;0;1
-3242;8;21;1;0;0;0;0;1
-3242;8;22;1;0;0;0;0;1
-3242;8;23;1;0;0;0;0;1
-3242;8;24;1;0;0;0;0;1
-3242;8;25;1;0;0;0;0;1
-3242;8;26;1;0;0;0;0;1
-3242;8;27;1;0;0;0;0;1
-3242;8;28;1;0;0;0;0;1
-3242;8;29;1;0;0;0;0;1
-3242;8;30;1;0;0;0;0;1
-3242;8;31;1;0;0;0;0;1
-3242;8;32;1;0;0;0;0;1
-3242;8;33;1;0;0;0;0;1
-3242;8;34;1;0;0;0;0;1
-3242;8;35;1;0;0;0;0;1
-3242;8;36;1;0;0;0;0;1
-3242;8;37;1;0;0;0;0;1
-3242;8;38;1;0;0;0;0;1
-3242;8;39;1;0;0;0;0;1
-3242;8;40;1;0;0;0;0;1
-3242;8;41;1;0;0;0;0;1
-3242;8;42;1;0;0;0;0;1
-3242;8;43;1;0;0;0;0;1
-3242;8;44;1;0;0;0;0;1
-3242;8;45;1;0;0;0;0;1
-3242;8;46;1;0;0;0;0;1
-3242;8;47;1;0;0;0;0;1
-3242;8;48;1;0;0;0;0;1
-3242;8;49;1;0;0;0;0;1
-3242;8;50;1;0;0;0;0;1
-3242;8;51;1;0;0;0;0;1
-3242;8;52;1;0;0;0;0;1
-3242;8;53;1;0;0;0;0;1
-3242;8;54;1;0;0;0;0;1
-3242;8;55;1;0;0;0;0;1
-3242;8;56;1;0;0;0;0;1
-3242;8;57;1;0;0;0;0;1
-3242;8;58;1;0;0;0;0;1
-3242;8;59;1;0;0;0;0;1
-3242;8;60;1;0;0;0;0;1
-3242;8;61;1;0;0;0;0;1
-3242;8;62;1;0;0;0;0;1
-3242;8;63;1;0;0;0;0;1
-3242;8;64;1;0;0;0;0;1
-3242;8;65;1;0;0;0;0;1
-3242;8;66;1;0;0;0;0;1
-3242;8;67;1;0;0;0;0;1
-3242;8;68;1;0;0;0;0;1
-3242;8;69;1;0;0;0;0;1
-3242;8;70;1;0;0;0;0;1
-3242;8;71;1;0;0;0;0;1
-3242;8;72;1;0;0;0;0;1
-3242;8;73;1;0;0;0;0;1
-3242;8;74;1;0;0;0;0;1
-3242;8;75;1;0;0;0;0;1
-3242;8;76;1;0;0;0;0;1
-3242;8;77;1;0;0;0;0;1
-3242;8;78;1;0;0;0;0;1
-3242;8;79;1;0;0;0;0;1
-3242;8;80;1;0;0;0;0;1
-3242;8;81;1;0;0;0;0;1
-3242;8;82;1;0;0;0;0;1
-3242;8;83;1;0;0;0;0;1
-3242;8;84;1;0;0;0;0;1
-3242;8;85;1;0;0;0;0;1
-3242;8;86;1;0;0;0;0;1
-3242;8;87;1;0;0;0;0;1
-3242;8;88;1;0;0;0;0;1
-3242;8;89;1;0;0;0;0;1
-3242;8;90;1;0;0;0;0;1
-3242;8;91;1;0;0;0;0;1
-3242;8;92;1;0;0;0;0;1
-3242;8;93;1;0;0;0;0;1
-3242;8;94;1;0;0;0;0;1
-3242;8;95;1;0;0;0;0;1
-3242;8;96;1;0;0;0;0;1
-3242;8;97;1;0;0;0;0;1
-3242;8;98;1;0;0;0;0;1
-3242;8;99;1;0;0;0;0;1
-3242;8;100;1;0;0;0;0;1
-3242;8;101;1;0;0;0;0;1
-3242;8;102;1;0;0;0;0;1
-3242;8;103;1;0;0;0;0;1
-3242;8;104;1;0;0;0;0;1
-3242;8;105;1;0;0;0;0;1
-3242;8;106;1;0;0;0;0;1
-3242;8;107;1;0;0;0;0;1
-3242;8;108;1;0;0;0;0;1
-3242;8;109;1;0;0;0;0;1
-3242;8;110;1;0;0;0;0;1
-3242;8;111;1;0;0;0;0;1
-3242;8;112;1;0;0;0;0;1
-3242;8;113;1;0;0;0;0;1
-3242;8;114;1;0;0;0;0;1
-3242;8;115;1;0;0;0;0;1
-3242;8;116;1;0;0;0;0;1
-3242;8;117;1;0;0;0;0;1
-3242;8;118;1;0;0;0;0;1
-3242;8;119;1;0;0;0;0;1
-3242;8;120;1;0;0;0;0;1
-3242;8;121;1;0;0;0;0;1
-3242;8;122;1;0;0;0;0;1
-3242;8;123;1;0;0;0;0;1
-3242;8;124;1;0;0;0;0;1
-3242;8;125;1;0;0;0;0;1
-3242;8;126;1;0;0;0;0;1
-3242;8;127;1;0;0;0;0;1
-3242;8;128;1;0;0;0;0;1
-3242;8;129;1;0;0;0;0;1
-3242;8;130;1;0;0;0;0;1
-3242;8;131;1;0;0;0;0;1
-3242;8;132;1;0;0;0;0;1
-3242;8;133;1;0;0;0;0;1
-3242;8;134;1;0;0;0;0;1
-3242;8;135;1;0;0;0;0;1
-3242;8;136;1;0;0;0;0;1
-3242;8;137;1;0;0;0;0;1
-3242;8;138;1;0;0;0;0;1
-3242;8;139;1;0;0;0;0;1
-3242;8;140;1;0;0;0;0;1
-3242;8;141;1;0;0;0;0;1
-3242;8;142;1;0;0;0;0;1
-3242;8;143;1;0;0;0;0;1
-3242;8;144;1;0;0;0;0;1
-3242;8;145;1;0;0;0;0;1
-3242;8;146;1;0;0;0;0;1
-3242;8;147;1;0;0;0;0;1
-3242;8;148;1;0;0;0;0;1
-3242;8;149;1;0;0;0;0;1
-3242;8;150;1;0;0;0;0;1
-3242;8;151;1;0;0;0;0;1
-3242;8;152;1;0;0;0;0;1
-3242;8;153;1;0;0;0;0;1
-3242;8;154;1;0;0;0;0;1
-3242;8;155;1;0;0;0;0;1
-3242;8;156;1;0;0;0;0;1
-3242;8;157;1;0;0;0;0;1
-3242;8;158;1;0;0;0;0;1
-3242;8;159;1;0;0;0;0;1
-3242;8;160;1;0;0;0;0;1
-3242;8;161;1;0;0;0;0;1
-3242;8;162;1;0;0;0;0;1
-3242;8;163;1;0;0;0;0;1
-3242;8;164;1;0;0;0;0;1
-3242;8;165;1;0;0;0;0;1
-3242;8;166;1;0;0;0;0;1
-3242;8;167;1;0;0;0;0;1
-3242;8;168;1;0;0;0;0;1
-3242;8;169;1;0;0;0;0;1
-3242;8;170;1;0;0;0;0;1
-3242;8;171;1;0;0;0;0;1
-3242;8;172;1;0;0;0;0;1
-3242;8;173;1;0;0;0;0;1
-3242;8;174;1;0;0;0;0;1
-3242;8;175;1;0;0;0;0;1
-3242;8;176;1;0;0;0;0;1
-3242;8;177;1;0;0;0;0;1
-3242;8;178;1;0;0;0;0;1
-3242;8;179;1;0;0;0;0;1
-3242;8;180;1;0;0;0;0;1
-3242;8;181;1;0;0;0;0;1
-3242;8;182;1;0;0;0;0;1
-3242;8;183;1;0;0;0;0;1
-3242;8;184;1;0;0;0;0;1
-3242;8;185;1;0;0;0;0;1
-3242;8;186;1;0;0;0;0;1
-3242;8;187;1;0;0;0;0;1
-3242;8;188;1;0;0;0;0;1
-3242;8;189;1;0;0;0;0;1
-3242;8;190;1;0;0;0;0;1
-3242;8;191;1;0;0;0;0;1
-3242;8;192;1;0;0;0;0;1
-3242;8;193;1;0;0;0;0;1
-3242;8;194;1;0;0;0;0;1
-3242;8;195;1;0;0;0;0;1
-3242;8;196;1;0;0;0;0;1
-3242;8;197;1;0;0;0;0;1
-3242;8;198;1;0;0;0;0;1
-3242;8;199;1;0;0;0;0;1
-3242;8;200;1;0;0;0;0;1
-3242;8;201;1;0;0;0;0;1
-3242;8;202;1;0;0;0;0;1
-3242;8;203;1;0;0;0;0;1
-3242;8;204;1;0;0;0;0;1
-3242;8;205;1;0;0;0;0;1
-3242;8;206;1;0;0;0;0;1
-3242;8;207;1;0;0;0;0;1
-3242;8;208;1;0;0;0;0;1
-3242;8;209;1;0;0;0;0;1
-3242;8;210;1;0;0;0;0;1
-3242;8;211;1;0;0;0;0;1
-3242;8;212;1;0;0;0;0;1
-3242;8;213;1;0;0;0;0;1
-3242;8;214;1;0;0;0;0;1
-3242;8;215;1;0;0;0;0;1
-3242;8;216;1;0;0;0;0;1
-3242;8;217;1;0;0;0;0;1
-3242;8;218;1;0;0;0;0;1
-3242;8;219;1;0;0;0;0;1
-3242;8;220;1;0;0;0;0;1
-3242;8;221;1;0;0;0;0;1
-3242;8;222;1;0;0;0;0;1
-3242;8;223;1;0;0;0;0;1
-3242;8;224;1;0;0;0;0;1
-3242;8;225;1;0;0;0;0;1
-3242;8;226;1;0;0;0;0;1
-3242;8;227;1;0;0;0;0;1
-3242;8;228;1;0;0;0;0;1
-3242;8;229;1;0;0;0;0;1
-3242;8;230;1;0;0;0;0;1
-3242;8;231;1;0;0;0;0;1
-3242;8;232;1;0;0;0;0;1
-3242;8;233;1;0;0;0;0;1
-3242;8;234;1;0;0;0;0;1
-3242;8;235;1;0;0;0;0;1
-3242;8;236;1;0;0;0;0;1
-3242;8;237;1;0;0;0;0;1
-3242;8;238;1;0;0;0;0;1
-3242;8;239;1;0;0;0;0;1
-3242;8;240;1;0;0;0;0;1
-3242;8;241;1;0;0;0;0;1
-3242;8;242;1;0;0;0;0;1
-3242;8;243;1;0;0;0;0;1
-3242;8;244;1;0;0;0;0;1
-3242;8;245;1;0;0;0;0;1
-3242;8;246;1;0;0;0;0;1
-3242;8;247;1;0;0;0;0;1
-3242;8;248;1;0;0;0;0;1
-3242;8;249;1;0;0;0;0;1
-3242;8;250;1;0;0;0;0;1
-3242;8;251;1;0;0;0;0;1
-3242;8;252;1;0;0;0;0;1
-3242;8;253;1;0;0;0;0;1
-3242;8;254;1;0;0;0;0;1
-3242;8;255;1;0;0;0;0;1
-3242;8;256;1;0;0;0;0;1
-3242;8;257;1;0;0;0;0;1
-3242;8;258;1;0;0;0;0;1
-3242;8;259;1;0;0;0;0;1
-3242;8;260;1;0;0;0;0;1
-3242;8;261;1;0;0;0;0;1
