agent_id;episode;step;action;reward;hasTreasure;enemyVisible;enemyInRange;treasureOnMap;distTreasure;distEnemy;distBase;health
-1320;0;0;1;-0,001;0;0;0;1;0,3948075;1;0,05477226;1
-1320;0;1;1;-0,002;0;0;0;1;0,394819;1;0,05462626;1
-1320;0;2;1;-0,003;0;0;0;1;0,394787;1;0,05465735;1
-1320;0;3;1;-0,004;0;0;0;1;0,394787;1;0,05465735;1
-1320;0;4;1;-0,005;0;0;0;1;0,3945341;1;0,05490308;1
-1320;0;5;1;-0,006000001;0;0;0;1;0,3943799;1;0,0550529;1
-1320;0;6;1;-0,007000001;0;0;0;1;0,3942003;1;0,05522748;1
-1320;0;7;1;-0,008;0;0;0;1;0,3939265;1;0,0554936;1
-1320;0;8;1;-0,009000001;0;0;0;1;0,3936664;1;0,05574657;1
-1320;0;9;1;-0,01;0;0;0;1;0,3933915;1;0,05601398;1
-1320;0;10;4;-0,011;0;0;0;1;0,393014;1;0,05638131;1
-1320;0;11;4;-0,012;0;0;0;1;0,3926779;1;0,05670844;1
-1320;0;12;4;-0,013;0;0;0;1;0,392321;1;0,05705595;1
-1320;0;13;4;-0,014;0;0;0;1;0,3918653;1;0,05749978;1
-1320;0;14;4;-0,015;0;0;0;1;0,3914306;1;0,05792339;1
-1320;0;15;1;-0,016;0;0;0;1;0,3908678;1;0,05847205;1
-1320;0;16;1;-0,017;0;0;0;1;0,3903603;1;0,05896701;1
-1320;0;17;1;-0,018;0;0;0;1;0,3898324;1;0,05948211;1
-1320;0;18;1;-0,019;0;0;0;1;0,3892694;1;0,0600317;1
-1320;0;19;1;-0,02;0;0;0;1;0,3885891;1;0,06069618;1
-1320;0;20;1;-0,021;0;0;0;1;0,3879639;1;0,06130709;1
-1320;0;21;1;-0,022;0;0;0;1;0,3873313;1;0,06192549;1
-1320;0;22;1;-0,023;0;0;0;1;0,3866099;1;0,06263114;1
-1320;0;23;1;-0,024;0;0;0;1;0,3859018;1;0,06332406;1
-1320;0;24;1;-0,025;0;0;0;1;0,3851887;1;0,06402224;1
-1320;0;25;4;-0,026;0;0;0;1;0,3844739;1;0,06472234;1
-1320;0;26;4;-0,027;0;0;0;1;0,3837309;1;0,06545052;1
-1320;0;27;4;-0,028;0;0;0;1;0,3830333;1;0,06613445;1
-1320;0;28;4;-0,029;0;0;0;1;0,3824388;1;0,06671757;1
-1320;0;29;4;-0,03;0;0;0;1;0,3816398;1;0,06750154;1
-1320;0;30;1;-0,031;0;0;0;1;0,3810236;1;0,06810644;1
-1320;0;31;1;-0,032;0;0;0;1;0,3802313;1;0,0688844;1
-1320;0;32;1;-0,033;0;0;0;1;0,3795702;1;0,06953388;1
-1320;0;33;1;-0,034;0;0;0;1;0,3788912;1;0,07020107;1
-1320;0;34;1;-0,035;0;0;0;1;0,3781304;1;0,07094897;1
-1320;0;35;4;-0,03599999;0;0;0;1;0,3774614;1;0,07160681;1
-1320;0;36;4;-0,03699999;0;0;0;1;0,3767905;1;0,07226681;1
-1320;0;37;4;-0,03799999;0;0;0;1;0,3761132;1;0,07293322;1
-1320;0;38;4;-0,03899999;0;0;0;1;0,3753531;1;0,07368135;1
-1320;0;39;4;-0,03999999;0;0;0;1;0,3746723;1;0,07435172;1
-1320;0;40;4;-0,04099999;0;0;0;1;0,3739729;1;0,07504051;1
-1320;0;41;4;-0,04199998;0;0;0;1;0,373268;1;0,07573488;1
-1320;0;42;4;-0,04299998;0;0;0;1;0,3725917;1;0,07640136;1
-1320;0;43;4;-0,04399998;0;0;0;1;0,3719276;1;0,07705602;1
-1320;0;44;4;-0,04499998;0;0;0;1;0,3711596;1;0,07781322;1
-1320;0;45;1;-0,04599998;0;0;0;1;0,3704878;1;0,07847572;1
-1320;0;46;1;-0,04699998;0;0;0;1;0,369815;1;0,07913942;1
-1320;0;47;1;-0,04799997;0;0;0;1;0,3690517;1;0,07989252;1
-1320;0;48;1;-0,04899997;0;0;0;1;0,3683893;1;0,08054631;1
-1320;0;49;1;-0,04999997;0;0;0;1;0,3677194;1;0,08120755;1
-1320;0;50;1;-0,05099997;0;0;0;1;0,3669323;1;0,0819847;1
-1320;0;51;1;-0,05199997;0;0;0;1;0,3662622;1;0,08264654;1
-1320;0;52;1;-0,05299997;0;0;0;1;0,3656074;1;0,08329335;1
-1320;0;53;1;-0,05399996;0;0;0;1;0,3648517;1;0,08403999;1
-1320;0;54;1;-0,05499996;0;0;0;1;0,3641578;1;0,08472564;1
-1320;0;55;4;-0,05599996;0;0;0;1;0,3634996;1;0,08537619;1
-1320;0;56;4;-0,05699996;0;0;0;1;0,3628202;1;0,08604787;1
-1320;0;57;4;-0,05799996;0;0;0;1;0,3620607;1;0,08679882;1
-1320;0;58;4;-0,05899996;0;0;0;1;0,3613849;1;0,08746713;1
-1320;0;59;4;-0,05999995;0;0;0;1;0,3607212;1;0,08812357;1
-1320;0;60;4;-0,06099995;0;0;0;1;0,3599342;1;0,08890224;1
-1320;0;61;4;-0,06199995;0;0;0;1;0,3592627;1;0,08956665;1
-1320;0;62;4;-0,06299995;0;0;0;1;0,3586103;1;0,09021231;1
-1320;0;63;4;-0,06399995;0;0;0;1;0,3578358;1;0,0909789;1
-1320;0;64;4;-0,06499995;0;0;0;1;0,357159;1;0,09164882;1
-1320;0;65;1;-0,06599995;0;0;0;1;0,3564788;1;0,0923223;1
-1320;0;66;1;-0,06699996;0;0;0;1;0,3558086;1;0,09298601;1
-1320;0;67;1;-0,06799996;0;0;0;1;0,3550545;1;0,09373288;1
-1320;0;68;1;-0,06899996;0;0;0;1;0,3544051;1;0,09437612;1
-1320;0;69;1;-0,06999996;0;0;0;1;0,3536558;1;0,09511841;1
-1320;0;70;4;-0,07099997;0;0;0;1;0,3529878;1;0,09578034;1
-1320;0;71;4;-0,07199997;0;0;0;1;0,352312;1;0,09645005;1
-1320;0;72;4;-0,07299997;0;0;0;1;0,3516293;1;0,0971266;1
-1320;0;73;4;-0,07399997;0;0;0;1;0,3508561;1;0,09789301;1
-1320;0;74;4;-0,07499997;0;0;0;1;0,3501661;1;0,09857705;1
-1320;0;75;4;-0,07599998;0;0;0;1;0,3494693;1;0,09926789;1
-1320;0;76;4;-0,07699998;0;0;0;1;0,3487768;1;0,09995461;1
-1320;0;77;4;-0,07799998;0;0;0;1;0,3480803;1;0,1006453;1
-1320;0;78;4;-0,07899998;0;0;0;1;0,3474113;1;0,1013089;1
-1320;0;79;4;-0,07999998;0;0;0;1;0,3466696;1;0,1020446;1
-1320;0;80;4;-0,08099999;0;0;0;1;0,3459932;1;0,1027156;1
-1320;0;81;4;-0,08199999;0;0;0;1;0,3453079;1;0,1033955;1
-1320;0;82;4;-0,08299999;0;0;0;1;0,3445581;1;0,1041395;1
-1320;0;83;4;-0,08399999;0;0;0;1;0,3439021;1;0,1047906;1
-1320;0;84;4;-0,08499999;0;0;0;1;0,3431369;1;0,10555;1
-1320;0;85;1;-0,086;0;0;0;1;0,3424536;1;0,1062283;1
-1320;0;86;1;-0,087;0;0;0;1;0,3417595;1;0,1069173;1
-1320;0;87;1;-0,088;0;0;0;1;0,3410952;1;0,1075768;1
-1320;0;88;1;-0,089;0;0;0;1;0,3404242;1;0,108243;1
-1320;0;89;1;-0,09;0;0;0;1;0,3396708;1;0,1089911;1
-1320;0;90;1;-0,09100001;0;0;0;1;0,3389707;1;0,1096863;1
-1320;0;91;1;-0,09200001;0;0;0;1;0,3382941;1;0,1103583;1
-1320;0;92;1;-0,09300001;0;0;0;1;0,3375391;1;0,1111082;1
-1320;0;93;1;-0,09400001;0;0;0;1;0,3368371;1;0,1118056;1
-1320;0;94;1;-0,09500001;0;0;0;1;0,3361726;1;0,1124657;1
-1320;0;95;4;-0,09600002;0;0;0;1;0,3354771;1;0,1131566;1
-1320;0;96;4;-0,09700002;0;0;0;1;0,3347846;1;0,1138447;1
-1320;0;97;4;-0,09800002;0;0;0;1;0,3340862;1;0,1145386;1
-1320;0;98;4;-0,09900002;0;0;0;1;0,333425;1;0,1151957;1
-1320;0;99;4;-0,1;0;0;0;1;0,332645;1;0,1159709;1
