agent_id;episode;step;action;reward;hasTreasure;enemyVisible;enemyInRange;treasureOnMap;distTreasure;distEnemy;distBase
-2098;7;0;1;0;0;0;0;1;0,3714394;1;0,05477226
-2098;7;1;1;0;0;0;0;1;0,3714516;1;0,05462626
-2098;7;2;1;0;0;0;0;1;0,3714196;1;0,05465734
-2098;7;3;1;0;0;0;0;1;0,3713556;1;0,05471953
-2098;7;4;1;0;0;0;0;1;0,3713556;1;0,05471953
-2098;7;5;1;0;0;0;0;1;0,3710457;1;0,05502078
-2098;7;6;1;0;0;0;0;1;0,3708583;1;0,05520294
-2098;7;7;1;0;0;0;0;1;0,3706012;1;0,05545295
-2098;7;8;1;0;0;0;0;1;0,3703561;1;0,05569133
-2098;7;9;1;0;0;0;0;1;0,3700665;1;0,05597316
-2098;7;10;1;0;0;0;0;1;0,369691;1;0,05633862
-2098;7;11;1;0;0;0;0;1;0,3694977;1;0,0565268
-2098;7;12;1;0;0;0;0;1;0,3689602;1;0,05705018
-2098;7;13;1;0;0;0;0;1;0,3685379;1;0,05746167
-2098;7;14;1;0;0;0;0;1;0,3680958;1;0,05789259
-2098;7;15;1;0;0;0;0;1;0,3675952;1;0,0583807
-2098;7;16;1;0;0;0;0;1;0,3670297;1;0,05893234
-2098;7;17;1;0;0;0;0;1;0,3665412;1;0,05940909
-2098;7;18;1;0;0;0;0;1;0,3659077;1;0,0600276
-2098;7;19;1;0;0;0;0;1;0,3654319;1;0,06049235
-2098;7;20;1;0;0;0;0;1;0,364718;1;0,06119005
-2098;7;21;1;0;0;0;0;1;0,3639275;1;0,06196301
-2098;7;22;1;0;0;0;0;1;0,3633001;1;0,06257682
-2098;7;23;1;0;0;0;0;1;0,3626174;1;0,06324505
-2098;7;24;1;0;0;0;0;1;0,3619135;1;0,06393429
-2098;7;25;1;0;0;0;0;1;0,3611814;1;0,06465155
-2098;7;26;1;0;0;0;0;1;0,3604811;1;0,06533799
-2098;7;27;1;0;0;0;0;1;0,3601279;1;0,06568424
-2098;7;28;1;0;0;0;0;1;0,3601279;1;0,06568424
-2098;7;29;1;0;0;0;0;1;0,358322;1;0,06745598
-2098;7;30;1;0;0;0;0;1;0,3576862;1;0,06808022
-2098;7;31;1;0;0;0;0;1;0,3570789;1;0,0686766
-2098;7;32;1;0;0;0;0;1;0,356266;1;0,06947523
-2098;7;33;1;0;0;0;0;1;0,3555272;1;0,07020136
-2098;7;34;1;0;0;0;0;1;0,3548507;1;0,07086646
-2098;7;35;1;0;0;0;0;1;0,3541718;1;0,07153419
-2098;7;36;1;0;0;0;0;1;0,3534715;1;0,07222312
-2098;7;37;1;0;0;0;0;1;0,3527427;1;0,07294037
-2098;7;38;1;0;0;0;0;1;0,352035;1;0,07363704
-2098;7;39;1;0;0;0;0;1;0,3513809;1;0,07428114
-2098;7;40;1;0;0;0;0;1;0,3507011;1;0,07495078
-2098;7;41;1;0;0;0;0;1;0,3499268;1;0,07571375
-2098;7;42;1;0;0;0;0;1;0,349241;1;0,07638966
-2098;7;43;1;0;0;0;0;1;0,3485665;1;0,07705459
-2098;7;44;1;0;0;0;0;1;0,3484747;1;0,07714503
-2098;7;45;1;0;0;0;0;1;0,3471348;1;0,0784665
-2098;7;46;1;0;0;0;0;1;0,3464459;1;0,07914613
-2098;7;47;1;0;0;0;0;1;0,3457511;1;0,07983182
-2098;7;48;1;0;0;0;0;1;0,3450622;1;0,0805118
