agent_id;episode;step;action;reward;hasTreasure;enemyVisible;enemyInRange;treasureOnMap;distTreasure;distEnemy;distBase
-2128;0;0;1;0;0;0;0;1;0,3817988;1;0,05477226
-2128;0;1;1;0;0;0;0;1;0,3818106;1;0,05462626
-2128;0;2;1;0;0;0;0;1;0,3817786;1;0,05465052
-2128;0;3;1;0;0;0;0;1;0,3817146;1;0,05469906
-2128;0;4;1;0;0;0;0;1;0,3817146;1;0,05469906
-2128;0;5;1;0;0;0;0;1;0,3814047;1;0,05493466
-2128;0;6;1;0;0;0;0;1;0,3812173;1;0,05507745
-2128;0;7;1;0;0;0;0;1;0,3809602;1;0,05527381
-2128;0;8;1;0;0;0;0;1;0,3807151;1;0,05546144
-2128;0;9;1;0;0;0;0;1;0,3804255;1;0,05568382
-2128;0;10;1;0;0;0;0;1;0,3800499;1;0,05597303
-2128;0;11;1;0;0;0;0;1;0,3798566;1;0,05612222
-2128;0;12;1;0;0;0;0;1;0,3793192;1;0,0565386
-2128;0;13;1;0;0;0;0;1;0,3788969;1;0,05686724
-2128;0;14;1;0;0;0;0;1;0,3784547;1;0,05721261
-2128;0;15;1;0;0;0;0;1;0,3779541;1;0,05760523
-2128;0;16;1;0;0;0;0;1;0,3773887;1;0,05805072
-2128;0;17;1;0;0;0;0;1;0,3769002;1;0,05843721
-2128;0;18;1;0;0;0;0;1;0,3762667;1;0,05894069
-2128;0;19;1;0;0;0;0;1;0,375791;1;0,05932049
-2128;0;20;1;0;0;0;0;1;0,375077;1;0,059893
-2128;0;21;1;0;0;0;0;1;0,3742865;1;0,06053034
-2128;0;22;1;0;0;0;0;1;0,3736591;1;0,06103877
-2128;0;23;1;0;0;0;0;1;0,3729764;1;0,06159453
-2128;0;24;1;0;0;0;0;1;0,3722725;1;0,06217014
-2128;0;25;1;0;0;0;0;1;0,3715404;1;0,06277167
-2128;0;26;1;0;0;0;0;1;0,3708401;1;0,06334963
-2128;0;27;1;0;0;0;0;1;0,3704869;1;0,063642
