agent_id;episode;step;action;reward;hasTreasure;enemyVisible;enemyInRange;treasureOnMap;distTreasure;distEnemy;distBase;health;score
-1694;0;0;1;-0,001;0;0;0;1;0,3802449;1;0,05477226;1;0
-1694;0;1;1;-0,002;0;0;0;1;0,3802568;1;0,05462626;1;0
-1694;0;2;1;-0,003;0;0;0;1;0,3802248;1;0,05465092;1;0
-1694;0;3;1;-0,004;0;0;0;1;0,3802248;1;0,05465092;1;0
-1694;0;4;1;-0,005;0;0;0;1;0,3802248;1;0,05465092;1;0
-1694;0;5;1;-0,006000001;0;0;0;1;0,3799717;1;0,05484637;1;0
-1694;0;6;1;-0,007000001;0;0;0;1;0,3797921;1;0,05498543;1;0
-1694;0;7;1;-0,008;0;0;0;1;0,3795431;1;0,05517852;1;0
-1694;0;8;1;-0,009000001;0;0;0;1;0,3792937;1;0,05537244;1;0
-1694;0;9;1;-0,01;0;0;0;1;0,3789533;1;0,05563772;1;0
-1694;0;10;1;-0,011;0;0;0;1;0,3786849;1;0,05584754;1;0
-1694;0;11;1;-0,012;0;0;0;1;0,378311;1;0,05614056;1;0
-1694;0;12;1;-0,013;0;0;0;1;0,3779155;1;0,05645167;1;0
-1694;0;13;1;-0,014;0;0;0;1;0,3774437;1;0,05682404;1;0
-1694;0;14;1;-0,015;0;0;0;1;0,377023;1;0,05715744;1;0
-1694;0;15;1;-0,016;0;0;0;1;0,3765132;1;0,0575629;1;0
-1694;0;16;1;-0,017;0;0;0;1;0,376015;1;0,05796068;1;0
-1694;0;17;1;-0,018;0;0;0;1;0,3754874;1;0,0583837;1;0
-1694;0;18;1;-0,019;0;0;0;1;0,3748812;1;0,05887175;1;0
-1694;0;19;1;-0,02;0;0;0;1;0,3741941;1;0,05942765;1;0
-1694;0;20;1;-0,021;0;0;0;1;0,3736123;1;0,05990046;1;0
-1694;0;21;1;-0,022;0;0;0;1;0,3728874;1;0,0604922;1;0
-1694;0;22;1;-0,023;0;0;0;1;0,3721598;1;0,06108902;1;0
-1694;0;23;1;-0,024;0;0;0;1;0,3714641;1;0,06166231;1;0
-1694;0;24;1;-0,025;0;0;0;1;0,3708079;1;0,06220533;1;0
-1694;0;25;1;-0,026;0;0;0;1;0,3700836;1;0,06280729;1;0
-1694;0;26;1;-0,027;0;0;0;1;0,3694308;1;0,06335197;1;0
-1694;0;27;1;-0,028;0;0;0;1;0,3686991;1;0,06396493;1;0
-1694;0;28;1;-0,029;0;0;0;1;0,3680085;1;0,06454566;1;0
-1694;0;29;1;-0,03;0;0;0;1;0,3672754;1;0,06516457;1;0
-1694;0;30;1;-0,031;0;0;0;1;0,3666697;1;0,06567764;1;0
-1694;0;31;1;-0,032;0;0;0;1;0,3658976;1;0,06633393;1;0
-1694;0;32;1;-0,033;0;0;0;1;0,3652079;1;0,0669223;1;0
-1694;0;33;1;-0,034;0;0;0;1;0,3645442;1;0,0674904;1;0
-1694;0;34;1;-0,035;0;0;0;1;0,3637934;1;0,06813496;1;0
-1694;0;35;1;-0,03599999;0;0;0;1;0,3631761;1;0,06866658;1;0
-1694;0;36;1;-0,03699999;0;0;0;1;0,3624126;1;0,06932612;1;0
-1694;0;37;1;-0,03799999;0;0;0;1;0,361735;1;0,06991319;1;0
-1694;0;38;1;-0,03899999;0;0;0;1;0,3609499;1;0,07059539;1;0
-1694;0;39;1;-0,03999999;0;0;0;1;0,3603249;1;0,07114002;1;0
-1694;0;40;1;-0,04099999;0;0;0;1;0,3595904;1;0,07178183;1;0
-1694;0;41;1;-0,04199998;0;0;0;1;0,3589111;1;0,07237685;1;0
-1694;0;42;1;-0,04299998;0;0;0;1;0,3581596;1;0,07303686;1;0
-1694;0;43;1;-0,04399998;0;0;0;1;0,3574581;1;0,07365456;1;0
-1694;0;44;1;-0,04499998;0;0;0;1;0,3568069;1;0,07422938;1;0
-1694;0;45;1;-0,04599998;0;0;0;1;0,356103;1;0,07485208;1;0
